width,height
29,30
30,30
30,30
31,31
30,32
31,31
33,34
34,35
33,34
36,36
35,36
37,38
37,38
40,39
41,42
44,44
46,44
47,48
50,48
53,51
57,54
59,58
63,61
70,70
76,76
85,86
97,97
108,110
124,127
144,148
29,30
30,30
30,29
31,31
31,31
32,32
33,34
34,33
33,33
34,33
36,35
35,36
36,36
36,36
37,36
38,38
38,39
39,41
40,41
42,43
43,43
45,45
45,47
47,48
49,49
50,52
53,54
55,56
57,59
59,61
27,26
27,28
27,28
30,29
30,29
31,31
30,30
32,31
31,32
34,33
34,34
35,35
38,37
39,39
40,39
41,41
44,44
46,45
48,47
51,50
52,52
55,55
59,59
62,63
69,70
74,75
83,85
92,95
107,108
122,124
27,28
28,29
29,28
29,30
28,30
31,31
33,32
31,33
33,33
34,34
36,35
37,37
37,36
38,39
40,39
41,40
43,44
43,45
47,46
50,50
51,52
53,54
58,57
62,60
64,61
70,69
76,75
85,84
94,93
109,104
55,59
56,60
56,60
57,61
59,62
59,63
59,66
63,68
63,69
65,70
66,71
68,72
70,73
70,74
70,74
72,75
74,79
74,80
76,80
77,82
80,84
81,85
81,88
84,88
85,89
86,93
90,96
95,100
98,106
107,110
56,57
55,57
56,56
58,58
59,59
57,59
57,59
57,59
60,60
61,61
61,62
63,62
65,65
68,68
68,69
69,70
71,72
72,74
74,74
79,80
81,81
82,82
85,86
89,88
93,94
97,96
100,104
105,107
108,110
114,118
30,32
30,33
31,33
32,33
32,33
34,33
36,34
37,35
37,36
38,37
38,39
38,39
39,39
39,41
40,42
42,43
44,45
44,46
46,46
48,46
48,48
51,50
53,53
55,54
57,55
59,57
61,57
63,60
68,61
71,67
46,48
45,47
46,48
46,47
46,47
46,48
47,49
50,50
50,51
49,50
50,51
52,53
52,55
52,55
54,56
52,55
53,55
54,56
56,57
57,56
57,57
58,58
60,59
62,63
63,64
63,64
64,64
70,68
72,69
74,70
25,26
27,27
27,27
28,28
27,30
29,31
29,32
33,33
34,33
35,35
36,37
37,38
37,37
37,39
39,39
41,41
42,43
46,45
50,49
54,53
54,56
58,59
63,64
70,72
76,79
86,86
98,98
114,117
134,141
164,170
40,40
41,42
43,42
44,46
49,47
52,51
53,52
60,61
62,65
73,75
83,80
92,88
28,29
31,32
31,32
33,32
32,32
34,35
34,36
36,37
37,38
39,39
41,41
44,43
47,46
48,48
50,51
55,55
59,59
63,64
30,28
29,30
29,31
30,30
32,31
33,32
32,34
34,32
33,35
34,35
36,36
38,38
39,39
39,40
42,40
43,43
46,44
47,46
49,47
51,50
50,49
53,52
55,53
57,55
58,57
59,57
61,59
62,62
63,63
64,63
44,50
43,49
44,50
43,50
43,51
44,51
46,53
46,54
46,55
47,56
50,58
50,59
51,59
52,62
55,63
55,67
57,70
61,72
62,76
64,77
69,81
73,84
76,89
83,95
88,101
96,108
106,117
109,123
122,135
140,148
50,49
51,51
52,52
53,53
54,54
55,56
56,56
57,57
58,58
59,59
60,59
61,62
62,63
64,64
69,64
69,67
71,69
74,71
75,72
80,75
82,77
84,81
86,83
88,84
88,86
95,92
97,96
100,98
107,104
112,110
44,47
44,46
43,46
43,47
43,47
43,47
46,50
46,49
45,49
46,51
47,51
48,51
47,50
49,53
48,52
48,55
51,54
51,56
51,56
54,58
53,59
53,59
56,61
57,62
57,62
60,64
60,65
62,70
64,72
68,74
28,30
28,29
30,30
30,31
31,31
33,33
33,34
34,33
33,33
34,34
35,34
36,36
38,37
38,37
39,39
40,40
41,40
42,42
43,44
45,44
46,45
47,47
51,50
55,53
57,55
57,58
59,60
63,64
69,68
73,71
29,28
31,29
31,30
31,31
30,29
31,31
30,32
32,32
32,34
34,33
36,34
36,35
37,36
37,38
37,37
39,39
41,41
41,42
44,44
45,45
47,47
48,49
51,51
54,53
57,56
60,59
64,64
71,71
76,76
84,86
27,28
29,29
29,31
30,33
31,33
29,31
30,32
31,33
33,35
35,36
36,37
37,36
38,39
40,40
40,40
41,42
42,42
45,43
47,45
48,46
50,48
54,52
57,55
59,58
64,63
73,71
79,77
91,88
104,107
121,124
28,30
28,29
28,29
30,31
30,32
30,32
30,32
33,34
33,34
34,36
35,36
37,37
37,38
38,40
39,41
41,42
43,43
44,45
45,48
49,48
52,51
54,53
57,56
60,60
64,63
68,69
74,75
84,83
97,97
108,109
42,42
43,43
44,43
45,44
45,46
45,45
46,45
47,46
47,48
47,49
48,49
50,51
50,52
50,52
51,54
52,54
53,56
55,58
56,60
58,60
58,61
60,63
62,66
64,69
69,71
72,74
75,80
81,82
84,86
92,93
30,28
30,28
30,31
32,31
32,31
31,32
33,32
33,32
32,33
34,33
34,34
36,36
38,38
38,39
39,40
40,40
40,39
41,41
42,42
44,44
46,46
48,49
50,51
54,57
61,61
68,63
75,71
82,76
94,84
124,105
25,27
27,28
27,27
26,28
29,29
28,28
29,29
30,32
32,32
33,34
32,34
34,36
35,37
36,38
39,39
41,40
43,41
44,44
46,46
47,48
50,50
53,53
56,56
60,61
68,69
76,76
85,87
100,100
121,120
144,144
33,35
34,34
35,34
35,36
37,37
37,37
37,38
37,38
37,39
39,41
40,42
42,41
42,43
44,43
46,45
47,46
47,47
49,48
51,51
52,52
53,54
56,57
59,58
63,63
68,69
71,72
74,77
82,81
91,92
98,98
32,33
34,34
34,34
35,36
35,35
35,35
35,36
36,37
38,39
39,38
41,40
41,42
42,41
43,43
45,44
45,46
46,48
49,51
50,53
53,54
55,57
58,57
61,61
62,63
67,69
69,72
75,77
84,85
92,94
100,104
37,38
39,40
39,40
40,41
41,43
43,44
45,46
46,46
47,48
49,49
50,52
53,52
55,55
57,56
57,59
60,61
62,64
67,68
71,71
74,75
76,81
81,83
85,87
87,93
94,97
98,103
106,108
109,114
118,121
124,129
29,29
29,29
28,29
30,30
30,31
30,31
31,31
31,32
32,32
33,33
32,34
34,35
36,36
36,36
36,37
37,37
40,39
41,40
41,42
42,42
43,45
45,46
46,47
48,49
50,52
49,52
53,53
56,55
60,58
64,63
44,50
45,50
46,50
46,51
47,51
47,52
49,53
49,53
50,55
51,54
54,56
55,56
55,58
56,58
57,59
59,61
59,61
61,62
62,64
65,65
68,68
70,70
69,69
73,72
75,73
76,75
79,80
81,80
83,84
83,85
27,27
27,28
27,29
27,30
28,29
28,29
29,31
30,31
30,33
31,33
32,33
32,33
32,34
34,36
34,36
36,36
38,38
39,39
40,42
39,42
42,43
45,47
47,49
48,50
50,51
54,54
57,58
59,59
62,63
71,74
31,33
30,35
33,35
33,36
34,37
34,37
36,38
37,38
37,39
38,39
39,40
40,40
41,41
40,41
43,43
44,45
47,46
49,50
51,50
53,52
55,54
59,59
63,63
71,71
76,75
83,83
88,89
100,100
110,112
132,132
32,30
31,31
33,32
35,33
36,35
36,35
38,35
38,36
38,35
38,37
39,36
38,36
38,37
38,36
40,37
39,37
39,38
41,38
41,39
41,39
42,39
44,41
44,41
45,42
45,42
42,44
48,45
48,45
50,46
52,48
25,28
27,28
27,29
27,29
26,28
26,29
26,28
26,27
27,27
28,27
28,28
28,28
28,26
28,26
28,28
30,29
30,29
30,28
30,28
29,29
29,29
29,28
28,29
29,29
31,31
32,32
32,34
32,34
33,34
34,35
26,25
28,26
28,28
28,28
30,28
30,30
31,30
29,29
31,30
34,32
34,31
33,31
35,32
36,35
37,35
37,35
39,38
40,40
40,39
42,41
43,44
45,45
48,46
49,49
52,51
55,54
60,58
63,60
67,63
73,72
51,52
50,52
49,52
50,53
51,53
53,55
56,57
57,59
58,59
60,62
63,63
64,64
68,66
69,68
72,68
74,71
76,73
76,75
80,77
80,81
83,82
85,84
86,88
92,93
96,95
99,100
106,106
108,108
113,112
119,118
31,31
31,32
32,31
34,32
35,32
33,34
32,34
32,32
34,34
34,35
36,36
39,40
39,39
40,41
41,44
43,44
45,45
47,47
48,48
48,51
51,51
53,55
55,56
58,59
60,63
68,70
72,74
76,81
82,88
88,95
29,33
29,32
28,32
30,35
30,36
32,36
32,37
33,37
32,37
33,38
32,39
32,40
36,42
38,44
37,45
39,46
41,48
42,50
45,53
47,56
51,59
55,63
56,69
60,72
64,80
75,89
84,99
94,111
110,131
137,157
33,34
33,36
34,36
35,36
36,38
37,39
39,38
39,38
39,40
40,41
40,41
40,42
41,43
44,44
46,47
49,49
49,52
52,52
53,55
55,56
57,57
60,61
65,69
72,75
80,81
86,87
96,98
107,109
128,131
154,155
27,34
28,34
28,36
32,37
32,38
32,39
33,41
33,41
34,42
34,44
35,45
37,47
37,49
38,48
40,51
41,53
43,57
44,58
46,59
48,60
52,63
55,71
58,73
60,75
68,83
72,91
82,98
93,108
103,117
118,134
27,29
28,30
29,31
29,29
30,31
29,30
30,32
29,33
34,35
36,36
38,38
40,39
40,39
41,40
42,42
44,43
45,46
47,46
49,48
50,50
53,53
55,55
59,58
62,61
70,68
74,73
81,79
91,88
101,99
111,106
33,32
33,32
32,33
33,34
34,34
35,34
36,36
36,37
38,38
39,38
39,40
41,41
42,42
44,43
44,46
47,47
49,48
51,50
52,53
54,56
59,59
62,64
68,69
71,73
77,80
83,85
95,96
107,108
121,120
143,135
30,30
31,31
30,30
30,30
31,30
31,33
34,33
34,33
34,35
33,34
34,36
37,36
37,36
37,37
37,37
40,40
41,41
42,42
44,43
44,44
47,46
47,48
50,49
53,52
55,53
58,56
63,60
69,65
72,69
76,76
30,29
30,31
31,30
32,32
33,31
32,32
32,33
34,33
34,33
35,34
35,35
38,37
38,39
40,40
41,41
42,41
42,44
45,44
47,46
50,48
51,52
55,54
57,58
63,63
70,71
76,75
86,87
98,98
110,113
130,135
26,26
26,27
26,26
26,28
29,28
29,30
29,29
28,30
29,30
29,30
31,32
32,31
33,35
34,34
35,35
34,36
35,36
37,38
39,39
42,42
45,44
48,47
52,50
54,55
60,58
63,59
69,64
76,73
89,85
105,98
31,30
31,31
33,34
34,33
34,35
33,35
33,34
34,36
35,37
35,36
38,38
38,37
40,38
42,40
42,42
42,41
43,42
45,45
47,48
48,47
51,50
53,51
56,54
57,56
61,59
64,62
70,69
75,72
81,81
92,88
26,25
26,26
27,26
28,27
28,26
27,27
28,28
29,28
30,31
31,32
31,31
31,32
33,34
34,34
36,36
36,36
38,37
40,40
40,41
43,43
45,47
48,48
54,53
56,55
59,57
62,61
71,71
82,82
92,88
105,104
27,28
28,28
27,28
29,30
29,30
29,31
30,31
30,31
31,33
31,33
31,33
32,34
33,34
33,34
33,34
36,36
37,37
37,37
38,39
38,40
39,41
40,43
41,42
42,44
43,46
46,48
49,51
51,54
54,56
58,60
34,34
36,36
37,35
36,35
36,38
36,38
38,38
39,38
39,42
40,43
40,42
45,48
45,48
45,46
46,47
51,52
50,54
52,55
56,57
59,62
62,69
65,70
70,73
73,79
76,80
82,85
86,96
94,100
104,108
110,116
33,34
34,36
34,38
34,38
34,36
37,37
38,37
38,39
38,40
40,42
42,44
43,45
43,45
44,47
46,49
48,49
51,53
54,54
53,56
56,58
58,59
62,62
67,68
71,73
81,81
83,85
93,92
99,100
121,117
130,128
41,42
42,43
44,44
44,43
43,44
45,44
45,46
47,48
47,48
48,49
49,49
50,49
50,50
52,52
54,54
55,55
54,54
55,56
56,56
58,59
58,60
61,60
62,63
63,63
65,67
68,69
68,69
72,72
74,74
77,77
34,35
34,34
34,36
32,33
34,36
37,37
38,40
38,40
38,39
39,39
43,44
42,44
45,47
46,46
48,50
49,49
48,50
50,51
51,52
52,53
59,59
60,62
62,64
70,71
72,73
80,81
82,82
91,92
103,104
116,117
39,38
39,38
40,41
41,40
41,41
42,42
43,42
43,42
46,47
46,47
47,46
48,48
49,48
49,49
52,52
53,53
55,55
55,55
58,59
61,61
61,60
64,65
65,64
69,70
73,74
81,82
85,86
98,98
105,106
121,121
38,37
38,38
38,37
38,37
37,38
32,33
34,35
34,35
36,36
36,37
38,38
37,37
41,41
43,42
42,43
43,43
45,45
47,47
48,49
51,50
51,52
54,54
57,57
58,58
69,68
73,72
76,76
80,80
96,97
109,109
41,41
40,40
43,43
43,43
42,42
44,45
45,45
44,44
48,49
48,49
49,49
50,50
51,51
52,51
53,53
55,55
57,58
57,58
61,60
65,64
65,65
70,70
73,73
77,76
84,85
87,86
91,92
105,105
110,110
119,118
40,41
40,41
41,42
42,41
43,43
44,43
44,43
46,46
45,45
46,45
48,48
48,49
50,49
50,49
52,51
53,52
54,54
57,58
59,60
61,61
64,62
68,69
70,71
76,76
81,80
85,86
94,94
105,104
111,112
123,123
35,35
35,36
35,36
36,35
35,35
36,36
37,37
36,36
39,39
40,39
40,40
40,40
41,40
41,42
44,44
46,46
47,48
47,48
53,53
52,53
56,55
58,59
61,61
61,60
72,71
75,75
80,80
92,91
97,97
111,111
35,35
36,35
35,35
36,35
35,36
35,35
36,35
36,37
39,40
40,41
40,40
42,42
41,42
43,42
43,42
44,44
46,46
45,46
47,48
50,50
52,53
54,54
58,57
63,64
69,68
76,76
83,82
92,93
108,107
130,130
32,32
33,32
34,33
34,33
33,33
33,33
34,34
35,35
36,36
37,36
38,37
38,37
39,40
41,41
42,41
43,43
44,44
49,50
49,50
52,52
51,51
54,55
59,59
61,62
67,68
70,70
76,76
85,85
97,97
111,111
35,30
35,31
35,31
37,33
37,33
37,33
37,33
37,33
39,35
40,36
44,39
43,39
43,39
45,42
48,42
48,42
51,45
53,46
54,48
56,52
58,53
56,55
58,58
64,63
72,71
75,74
83,82
88,86
100,97
107,105
27,27
27,27
28,28
27,28
27,29
29,29
28,30
30,30
31,30
32,31
33,33
33,34
36,36
37,37
38,38
38,38
41,40
43,43
45,45
46,49
48,49
50,51
54,57
62,62
69,69
73,73
84,85
100,100
115,116
134,136
27,28
26,27
27,27
29,28
29,28
28,28
28,28
29,29
29,29
28,28
30,31
31,33
31,33
31,34
32,33
32,34
33,34
35,35
35,37
35,37
39,38
39,41
39,43
42,45
46,48
48,49
50,52
65,67
73,74
83,83
49,49
49,49
50,49
50,49
50,49
51,50
51,50
53,51
53,51
53,53
55,54
54,53
54,54
55,54
56,55
56,56
57,57
58,58
59,59
60,60
60,61
62,63
63,64
64,64
64,68
67,68
69,70
71,70
72,72
76,75
29,29
30,30
30,31
30,31
31,32
31,32
31,33
34,33
33,34
34,33
33,34
34,36
36,36
36,37
38,39
39,38
40,40
41,42
41,43
42,44
45,45
47,48
48,49
50,52
56,55
58,60
65,67
71,74
84,87
97,99
28,30
30,30
29,30
31,30
31,32
32,32
34,33
34,34
35,34
34,35
36,36
36,36
37,39
39,39
38,38
41,41
43,42
43,42
45,45
45,47
48,49
49,51
52,52
54,54
55,56
58,61
62,64
68,71
72,74
74,80
25,27
26,27
27,27
27,28
27,27
28,28
29,29
30,29
29,29
31,33
31,33
31,33
33,34
33,35
34,35
36,36
35,36
38,39
38,39
40,41
42,44
44,45
48,49
49,51
55,56
57,59
60,61
64,69
72,73
80,84
35,33
34,33
34,33
35,34
37,35
37,35
37,37
37,37
39,37
39,39
41,39
41,39
41,39
41,40
42,41
44,43
46,45
47,45
47,46
48,48
51,49
52,51
55,54
57,56
59,58
63,62
68,64
72,70
74,71
82,77
26,27
28,27
28,29
28,30
28,30
30,30
29,29
30,30
30,31
31,31
32,33
33,35
33,36
36,36
36,38
37,37
38,39
38,39
39,40
40,41
44,44
46,46
48,49
51,51
53,54
57,60
61,65
65,70
72,77
76,84
37,38
38,38
39,39
40,40
41,41
44,42
43,43
45,43
46,46
49,47
50,48
51,49
52,51
53,52
56,54
57,55
64,61
64,63
67,68
72,71
76,74
83,77
86,83
92,87
98,91
115,108
122,115
133,124
142,134
146,144
26,25
28,27
27,26
27,26
28,27
29,28
29,29
30,29
31,31
32,30
33,32
35,33
36,34
37,36
39,37
39,38
40,39
42,42
46,45
48,48
51,50
54,53
57,56
61,58
64,61
74,71
82,78
92,87
101,96
119,112
28,26
27,26
28,26
28,28
30,29
30,30
30,27
30,30
29,29
34,31
34,31
35,32
36,32
36,32
37,32
38,34
41,36
41,37
44,39
44,41
46,43
48,43
50,45
51,46
54,50
58,53
61,58
69,63
76,71
83,77
43,41
43,43
43,43
44,44
46,46
47,46
48,47
48,48
50,48
52,50
52,51
54,53
58,55
59,56
61,58
63,60
69,62
72,68
75,71
80,74
83,77
86,81
93,84
95,88
100,93
104,96
110,104
124,117
131,123
143,136
30,32
31,32
32,31
31,33
32,33
32,32
32,32
32,32
32,33
32,34
32,33
34,33
33,36
35,36
36,36
36,36
36,37
37,37
36,39
37,38
38,40
40,43
41,43
42,44
42,45
43,46
46,49
47,50
51,53
53,56
26,26
28,28
27,27
27,28
29,28
27,26
26,29
29,29
30,31
32,30
29,30
30,31
32,32
36,35
36,36
36,35
36,37
38,38
42,41
43,43
46,47
49,48
52,52
57,56
62,62
69,69
80,79
94,93
112,110
129,129
51,51
50,52
51,53
52,54
52,54
54,56
54,58
55,59
56,59
58,60
60,63
61,63
63,68
64,70
66,71
70,73
72,74
74,75
76,77
81,82
84,84
86,85
92,93
96,95
98,99
105,108
107,113
112,122
118,129
124,144
27,28
27,29
27,28
27,30
30,30
30,32
30,32
30,33
32,34
33,35
34,36
34,36
35,38
37,39
39,42
40,42
41,44
44,45
46,47
48,50
53,53
55,55
57,58
62,64
73,71
79,77
89,89
98,96
117,110
133,131
25,25
27,27
28,28
27,28
30,29
31,30
31,32
33,32
33,33
35,35
35,35
37,38
37,37
38,39
40,40
40,42
42,43
44,44
46,46
49,50
53,53
56,56
57,57
61,60
63,62
71,71
80,79
86,88
96,97
106,110
29,29
29,28
30,29
30,30
29,29
30,29
30,31
31,31
31,31
33,32
32,33
34,34
34,33
35,35
38,37
38,38
42,42
43,42
43,43
45,46
48,47
50,50
52,53
57,55
60,61
64,63
74,74
83,83
98,95
120,117
32,31
33,33
33,33
33,34
33,33
33,33
35,35
35,35
37,36
37,38
39,38
39,39
39,41
39,41
41,42
42,44
44,45
45,48
46,46
48,49
48,50
49,52
52,53
54,55
53,57
58,59
61,63
63,68
67,68
70,73
27,28
27,27
27,27
28,29
28,28
30,30
29,29
30,31
30,31
32,32
32,32
34,36
34,37
34,38
35,39
37,39
38,39
38,40
41,40
42,42
43,44
42,46
45,48
47,51
49,54
53,56
56,60
59,64
68,72
71,75
28,29
29,29
28,28
29,29
30,31
31,31
32,31
32,32
33,32
32,31
34,33
34,34
34,35
34,35
36,36
36,36
37,39
39,41
39,40
41,41
41,43
43,44
45,46
45,46
47,49
49,50
53,54
56,56
57,57
62,62
28,29
27,29
27,29
29,30
30,30
30,29
30,30
30,31
31,32
32,31
34,35
33,34
33,34
35,36
35,38
38,41
40,42
40,42
44,44
44,47
47,49
50,51
52,55
55,58
60,62
70,70
77,80
84,85
96,97
120,117
28,28
29,28
29,30
29,30
30,31
31,31
30,30
32,31
32,33
32,33
34,32
32,33
35,35
35,34
37,36
37,37
37,39
39,38
39,40
40,40
41,41
43,42
43,43
45,45
47,48
49,50
52,52
54,54
58,56
59,60
30,31
30,30
30,30
31,31
30,30
32,32
33,33
33,33
34,34
34,34
36,35
37,35
37,35
37,35
38,37
40,39
42,42
42,42
44,43
45,45
45,47
46,47
48,48
50,52
53,52
56,57
60,60
61,63
69,69
73,75
25,27
26,26
28,27
28,27
28,28
28,29
29,30
29,30
30,31
30,30
32,31
34,33
34,34
35,35
36,36
36,36
38,37
38,39
41,41
42,44
44,45
46,47
49,51
53,52
57,56
59,61
67,69
75,76
84,84
99,99
30,31
31,33
32,32
32,31
33,33
31,33
33,34
34,35
36,37
36,38
37,39
37,39
38,40
38,40
40,40
41,42
45,45
46,46
48,47
48,48
50,49
52,52
55,55
56,57
59,59
62,62
68,68
69,70
79,79
82,82
28,28
27,28
28,27
29,28
29,28
30,30
30,30
29,30
30,30
32,32
32,33
34,34
35,35
35,35
35,35
34,35
36,36
37,38
40,39
39,42
41,42
43,44
45,45
48,48
51,51
55,52
55,55
59,59
68,64
74,72
